year,race_name,date,circuit_name,location,country,Driver,driver_code,finish_position,race_points,status,stop,pit_lap,pit_duration,Tire Compound,Stint Length,Stint,Air_Temp_C,Track_Temp_C,Humidity_%,Wind_Speed_KMH,TotalPitStops,AvgPitStopTime,Lap Time Variation,Total Pit Stops,Tire Usage Aggression,Fast Lap Attempts,Position Changes,Driver Aggression Score
2018,Singapore Grand Prix,2018-09-16,Marina Bay Street Circuit,Marina Bay,Singapore,Kimi Räikkönen,RAI,5,10.0,Finished,1,22,29.513,,,,,,,,,,,,,,,
2018,Singapore Grand Prix,2018-09-16,Marina Bay Street Circuit,Marina Bay,Singapore,Sebastian Vettel,VET,3,15.0,Finished,1,14,28.722,HYPERSOFT,13.0,1.0,27.66666666666666,33.16666666666666,75.25,16.950000000000006,1.0,28.722,0.004005353,0.1428571428571428,0.016393443,37.83381994581159,0.086956522,5.723963224110831
2018,Singapore Grand Prix,2018-09-16,Marina Bay Street Circuit,Marina Bay,Singapore,Sebastian Vettel,VET,3,15.0,Finished,1,14,28.722,ULTRASOFT,47.0,2.0,27.66666666666666,33.16666666666666,75.25,16.950000000000006,1.0,28.722,0.004005353,0.1428571428571428,0.016393443,37.83381994581159,0.086956522,5.723963224110831
2018,Spanish Grand Prix,2018-05-13,Circuit de Barcelona-Catalunya,Montmeló,Spain,Sebastian Vettel,VET,4,12.0,Finished,1,17,22.054,SOFT,16.0,1.0,12.9375,18.4375,74.54166666666667,9.516666666666666,2.0,23.1635,0.002176407,0.2857142857142857,0.03030303,43.39231994581159,0.1304347826086956,6.600033569805149
2018,Spanish Grand Prix,2018-05-13,Circuit de Barcelona-Catalunya,Montmeló,Spain,Sebastian Vettel,VET,4,12.0,Finished,1,17,22.054,MEDIUM,24.0,2.0,12.9375,18.4375,74.54166666666667,9.516666666666666,2.0,23.1635,0.002176407,0.2857142857142857,0.03030303,43.39231994581159,0.1304347826086956,6.600033569805149
2018,Spanish Grand Prix,2018-05-13,Circuit de Barcelona-Catalunya,Montmeló,Spain,Sebastian Vettel,VET,4,12.0,Finished,1,17,22.054,MEDIUM,25.0,3.0,12.9375,18.4375,74.54166666666667,9.516666666666666,2.0,23.1635,0.002176407,0.2857142857142857,0.03030303,43.39231994581159,0.1304347826086956,6.600033569805149
2018,Spanish Grand Prix,2018-05-13,Circuit de Barcelona-Catalunya,Montmeló,Spain,Sebastian Vettel,VET,4,12.0,Finished,2,41,24.273,SOFT,16.0,1.0,12.9375,18.4375,74.54166666666667,9.516666666666666,2.0,23.1635,0.002176407,0.2857142857142857,0.03030303,43.39231994581159,0.1304347826086956,6.600033569805149
2018,Spanish Grand Prix,2018-05-13,Circuit de Barcelona-Catalunya,Montmeló,Spain,Sebastian Vettel,VET,4,12.0,Finished,2,41,24.273,MEDIUM,24.0,2.0,12.9375,18.4375,74.54166666666667,9.516666666666666,2.0,23.1635,0.002176407,0.2857142857142857,0.03030303,43.39231994581159,0.1304347826086956,6.600033569805149
2018,Spanish Grand Prix,2018-05-13,Circuit de Barcelona-Catalunya,Montmeló,Spain,Sebastian Vettel,VET,4,12.0,Finished,2,41,24.273,MEDIUM,25.0,3.0,12.9375,18.4375,74.54166666666667,9.516666666666666,2.0,23.1635,0.002176407,0.2857142857142857,0.03030303,43.39231994581159,0.1304347826086956,6.600033569805149
2018,United States Grand Prix,2018-10-21,Circuit of the Americas,Austin,USA,Kimi Räikkönen,RAI,1,25.0,Finished,1,21,23.714,,,,,,,,,,,,,,,
2018,United States Grand Prix,2018-10-21,Circuit of the Americas,Austin,USA,Sebastian Vettel,VET,4,12.0,Finished,1,26,24.449,SUPERSOFT,26.0,1.0,17.404166666666665,22.904166666666665,61.79166666666666,16.800000000000004,1.0,24.449,0.002599383,0.1428571428571428,0.017857143,42.10681995,0.1304347826086956,6.369131999256719
